query,expected_tier,predicted_tier,correct,reason,language
مقارنة إنزيمات الكبد؟,2,2,1,default_tier2,ar
هل AST طبيعي؟,2,2,1,default_tier2,ar
هل ALT تحسنت؟,2,2,1,default_tier2,ar
هل هناك تحسن عام؟,2,2,1,default_tier2,ar
هل النتائج ضمن النطاق؟,2,2,1,default_tier2,ar
هل هناك قلق من النتائج؟,2,2,1,default_tier2,ar
ما اتجاه النتائج؟,2,2,1,default_tier2,ar
بناءً على نتائج فحوصاتي، ما التغييرات المطلوبة في العلاج؟,3,2,0,default_tier2,ar
بناءً على قراءات الضغط الأخيرة، هل لدي ارتفاع في ضغط الدم؟,3,2,0,semantic_request,ar
"Based on my labs, what lifestyle changes do you recommend?",3,2,0,default_tier2,en
هل يوجد قلق من ارتفاع LDL في نتائج الفحص الأخيرة؟,3,2,0,semantic_request,ar
ما المسار المتوقع للحالة بناءً على الاتجاهات؟,3,2,0,default_tier2,ar
هل يجب تعديل الأدوية بناءً على النتائج؟,3,2,0,default_tier2,ar
ما توصيات العلاج بناءً على التطورات؟,3,2,0,default_tier2,ar
كيف يمكنني تحسين قراءات الغلوكوز؟,3,2,0,default_tier2,ar
هل يجب زيادة الجرعة؟,3,2,0,default_tier2,ar
ما الخطة العلاجية المناسبة؟,3,3,1,complex_reasoning,ar
ما أفضل نظام غذائي بناءً على النتائج؟,3,2,0,default_tier2,ar
هل الصيام مفيد بناءً على قراءات sugar؟,3,2,0,default_tier2,ar
ما أنواع التمارين المناسبة؟,3,2,0,default_tier2,ar
كم ساعة نوم مطلوبة؟,3,2,0,default_tier2,ar
كيف أتحكم في القلق والتوتر؟,3,2,0,default_tier2,ar
ما العلاقة بين الضغط والوزن؟,3,2,0,default_tier2,ar
هل السمنة تؤثر على النتائج؟,3,2,0,default_tier2,ar
ما العلاقة بين السكر وأمراض القلب؟,3,2,0,default_tier2,ar
هل يوجد خطر على القلب؟,3,3,1,complex_reasoning,ar
ما الفحوصات المطلوبة للكشف المبكر؟,3,2,0,default_tier2,ar
هل يجب فحص القلب؟,3,2,0,default_tier2,ar
ما ECG المطلوب؟,3,2,0,default_tier2,ar
هل فحص الإيكوكارديوغرام ضروري؟,3,2,0,default_tier2,ar
ما توصيات التغذية؟,3,2,0,default_tier2,ar
ما الأطعة التي يجب تجنبها؟,3,2,0,default_tier2,ar
ما الأطعة المفيدة؟,3,2,0,default_tier2,ar
هل يجب تقليل الملح؟,3,2,0,default_tier2,ar
هل يجب تقليل السكر؟,3,2,0,default_tier2,ar
هل يجب تقليل الدهون؟,3,2,0,default_tier2,ar
ما نسبة البروتين المطلوبة؟,3,2,0,default_tier2,ar
هل يجب أخذ مكملات؟,3,2,0,default_tier2,ar
ما أفضل وقت للتمارين؟,3,2,0,default_tier2,ar
كم مدة التمارين؟,3,2,0,default_tier2,ar
