query,tier,retrieved,tokens,budget,within_budget
هل نتائج السكر طبيعية؟,2,1,164,200,1
هل يوجد تغير في الوزن؟,2,1,163,200,1
كيف تغيرت النتائج منذ آخر فحص؟,2,1,190,200,1
هل نتائج الغدة الدرقية حسنت؟,2,1,187,200,1
هل HbA1c تحسن؟,2,1,200,200,1
هل LDL انخفض؟,2,1,147,200,1
هل HDL ارتفع؟,2,1,163,200,1
مقارنة HDL بالنتائج السابقة؟,2,1,163,200,1
هل هناك تغير في TSH؟,2,1,127,200,1
هل free T4 طبيعي؟,2,1,187,200,1
هل النتائج مستقرة؟,2,1,150,200,1
هل هناك ترا��ع؟,2,1,163,200,1
مقارنة نتائج CBC؟,2,1,148,200,1
هل الهيموغلوبين تحسن؟,2,1,163,200,1
هل الحديد زاد؟,2,1,193,200,1
هل Feritin تحسن؟,2,1,163,200,1
مقارنة وظائف الكلى؟,2,1,183,200,1
هل اليوريا تحسنت؟,2,1,127,200,1
هل الكرياتينين مستقر؟,2,1,187,200,1
مقارنة إنزيمات الكبد؟,2,1,200,200,1
هل AST طبيعي؟,2,1,200,200,1
هل ALT تحسنت؟,2,1,140,200,1
هل هناك تحسن عام؟,2,1,140,200,1
هل النتائج ضمن النطاق؟,2,1,152,200,1
هل هناك قلق من النتائج؟,2,1,129,200,1
ما اتجاه النتائج؟,2,1,200,200,1
بناءً على نتائج فحوصاتي، ما التغييرات المطلوبة في العلاج؟,3,1,707,20000,1
بناءً على قراءات الضغط الأخيرة، هل لدي ارتفاع في ضغط الدم؟,3,1,707,20000,1
"Based on my labs, what lifestyle changes do you recommend?",3,1,707,20000,1
هل يوجد قلق من ارتفاع LDL في نتائج الفحص الأخيرة؟,3,1,707,20000,1
ما المسار المتوقع للحالة بناءً على الاتجاهات؟,3,1,707,20000,1
هل يجب تعديل الأدوية بناءً على النتائج؟,3,1,707,20000,1
ما توصيات العلاج بناءً على التطورات؟,3,1,707,20000,1
كيف يمكنني تحسين قراءات الغلوكوز؟,3,1,707,20000,1
هل يجب زيادة الجرعة؟,3,1,707,20000,1
ما الخطة العلاجية المناسبة؟,3,1,707,20000,1
ما أفضل نظام غذائي بناءً على النتائج؟,3,1,707,20000,1
هل الصيام مفيد بناءً على قراءات sugar؟,3,1,707,20000,1
ما أنواع التمارين المناسبة؟,3,1,707,20000,1
كم ساعة نوم مطلوبة؟,3,1,707,20000,1
كيف أتحكم في القلق والتوتر؟,3,1,707,20000,1
ما العلاقة بين الضغط والوزن؟,3,1,707,20000,1
هل السمنة تؤثر على النتائج؟,3,1,707,20000,1
ما العلاقة بين السكر وأمراض القلب؟,3,1,707,20000,1
هل يوجد خطر على القلب؟,3,1,707,20000,1
ما الفحوصات المطلوبة للكشف المبكر؟,3,1,707,20000,1
هل يجب فحص القلب؟,3,1,707,20000,1
ما ECG المطلوب؟,3,1,707,20000,1
هل فحص الإيكوكارديوغرام ضروري؟,3,1,707,20000,1
ما توصيات التغذية؟,3,1,707,20000,1
ما الأطعة التي يجب تجنبها؟,3,1,707,20000,1
ما الأطعة المفيدة؟,3,1,707,20000,1
هل يجب تقليل الملح؟,3,1,707,20000,1
هل يجب تقليل السكر؟,3,1,707,20000,1
هل يجب تقليل الدهون؟,3,1,707,20000,1
ما نسبة البروتين المطلوبة؟,3,1,707,20000,1
هل يجب أخذ مكملات؟,3,1,707,20000,1
ما أفضل وقت للتمارين؟,3,1,707,20000,1
كم مدة التمارين؟,3,1,707,20000,1
