query,expected_tier,predicted_tier,correct,reason,language
ما درجة حرارتي؟,1,1,1,ml_classifier(conf=0.59),ar
ما معدل ضربات القلب؟,1,2,0,default_tier2,ar
ما معدل التنفس؟,1,2,0,default_tier2,ar
ما نسبة الأكسجين في الدم؟,1,1,1,ml_classifier(conf=0.59),ar
هل تحسنت قراءات الضغط؟,2,2,1,ml_classifier(conf=0.66),ar
هل هناك تغير في وزني؟,2,2,1,semantic_request,ar
هل مستوى السكر مستقر؟,2,2,1,semantic_request,ar
ما اتجاه مؤشراتي الحيوية؟,2,2,1,semantic_request,ar
بناءً على مؤشراتي الحيوية، هل حالتي مستقرة؟,3,3,1,complex_reasoning,ar
ما دلالة قراءاتي الحيوية على صحتي؟,3,1,0,exact_field_lookup,ar
ما الفحوصات المخبرية المطلوبة لي؟,1,3,0,ml_classifier(conf=0.58),ar
ما حالة فحص فيتامين د؟,1,1,1,ml_classifier(conf=0.57),ar
ما تعليمات الفحص المخبري؟,1,2,0,default_tier2,ar
متى تم طلب الفحص؟,1,2,0,default_tier2,ar
ما اسم الفحص المطلوب؟,1,2,0,default_tier2,ar
ما رمز الفحص؟,1,1,1,ml_classifier(conf=0.64),ar
هل الفحص مكتمل أم ملغى؟,1,2,0,default_tier2,ar
هل اكتملت جميع فحوصاتي؟,2,2,1,semantic_request,ar
كم عدد الفحوصات المطلوبة؟,2,3,0,complex_reasoning,ar
ما الفحوصات الملغاة؟,2,1,0,ml_classifier(conf=0.58),ar
هل هناك فحوصات معلقة؟,2,2,1,semantic_request,ar
بناءً على الفحوصات المطلوبة، ماذا يجب أن أتابع؟,3,3,1,ml_classifier(conf=0.65),ar
ما أهمية الفحوصات المطلوبة لحالتي؟,3,3,1,ml_classifier(conf=0.61),ar
كم رسوم زيارتي؟,1,2,0,default_tier2,ar
ما تكلفة آخر موعد؟,1,1,1,exact_field_lookup,ar
ما رسوم الكشف؟,1,2,0,default_tier2,ar
كم دفعت في آخر زيارة؟,1,2,0,default_tier2,ar
ما قيمة الفاتورة؟,1,1,1,ml_classifier(conf=0.58),ar
كم إجمالي رسوم زياراتي؟,2,2,1,default_tier2,ar
ما متوسط تكلفة زياراتي؟,2,2,1,default_tier2,ar
هل تختلف رسوم زياراتي؟,2,2,1,default_tier2,ar
بناءً على حالتي العامة، ما النصائح الصحية المناسبة؟,3,3,1,ml_classifier(conf=0.72),ar
ما العلاقة بين تشخيصي وأدويتي؟,3,3,1,complex_reasoning,ar
بناءً على سجلي، ما نمط الحياة الموصى به؟,3,3,1,ml_classifier(conf=0.63),ar
هل أعراضي تتوافق مع تشخيصي؟,3,3,1,complex_reasoning,ar
ما أفضل نظام غذائي بناءً على حالتي؟,3,3,1,ml_classifier(conf=0.68),ar
بناءً على مواعيدي وأدويتي، هل ألتزم بالعلاج؟,3,3,1,ml_classifier(conf=0.66),ar
ما التمارين المناسبة لحالتي؟,3,3,1,ml_classifier(conf=0.72),ar
كيف أحسّن حالتي الصحية العامة؟,3,3,1,complex_reasoning,ar
بناءً على بياناتي، ما عوامل الخطر لدي؟,3,3,1,complex_reasoning,ar
هل يجب تغيير خطة علاجي؟,3,3,1,ml_classifier(conf=0.70),ar
ما الإجراءات الوقائية المناسبة لحالتي؟,3,3,1,ml_classifier(conf=0.70),ar
بناءً على تاريخي الطبي، ما المتابعة المطلوبة؟,3,3,1,ml_classifier(conf=0.63),ar
ما تأثير حالتي على نمط حياتي اليومي؟,3,2,0,default_tier2,ar
هل هناك ترابط بين أعراضي المختلفة؟,3,2,0,default_tier2,ar
ما الأولويات العلاجية بناءً على حالتي؟,3,3,1,ml_classifier(conf=0.57),ar
بناءً على كل بياناتي، ما ملخص حالتي الصحية؟,3,3,1,complex_reasoning,ar
