query,expected_tier,tier_used,status,grounding_score,confidence,latency_seconds
كم ساعة نوم مطلوبة؟,3,2,t2_success,0.85,0.85,8.377
كيف أتحكم في القلق والتوتر؟,3,2,t2_success,0.85,0.85,9.673
ما العلاقة بين الضغط والوزن؟,3,2,t2_success,0.85,0.85,11.404
هل السمنة تؤثر على النتائج؟,3,2,t2_success,0.85,0.85,8.504
ما العلاقة بين السكر وأمراض القلب؟,3,2,t2_success,0.85,0.85,7.559
هل يوجد خطر على القلب؟,3,3,t3_success,0.9,0.9,21.819
ما الفحوصات المطلوبة للكشف المبكر؟,3,2,t2_success,0.85,0.85,8.448
هل يجب فحص القلب؟,3,2,t2_success,0.85,0.85,8.412
ما ECG المطلوب؟,3,2,t2_success,0.85,0.85,10.438
هل فحص الإيكوكارديوغرام ضروري؟,3,2,t2_success,0.85,0.85,8.382
ما توصيات التغذية؟,3,2,t2_success,0.85,0.85,8.514
ما الأطعة التي يجب تجنبها؟,3,2,t2_success,0.85,0.85,8.429
ما الأطعة المفيدة؟,3,2,t2_success,0.85,0.85,9.498
هل يجب تقليل الملح؟,3,2,t2_success,0.85,0.85,8.402
هل يجب تقليل السكر؟,3,2,t2_success,0.85,0.85,10.451
هل يجب تقليل الدهون؟,3,2,t2_success,0.85,0.85,8.404
ما نسبة البروتين المطلوبة؟,3,2,t2_success,0.85,0.85,9.402
هل يجب أخذ مكملات؟,3,2,t2_success,0.85,0.85,9.471
ما أفضل وقت للتمارين؟,3,2,t2_success,0.85,0.85,8.451
كم مدة التمارين؟,3,2,t2_success,0.85,0.85,10.489
