query,tier,category,n_relevant
ما معدل التنفس؟,1,uncategorized,3
ما نسبة الأكسجين في الدم؟,1,uncategorized,5
هل تحسنت قراءات الضغط؟,2,uncategorized,2
هل هناك تغير في وزني؟,2,uncategorized,3
هل مستوى السكر مستقر؟,2,uncategorized,6
ما اتجاه مؤشراتي الحيوية؟,2,uncategorized,5
بناءً على مؤشراتي الحيوية، هل حالتي مستقرة؟,3,uncategorized,6
ما دلالة قراءاتي الحيوية على صحتي؟,3,uncategorized,5
ما الفحوصات المخبرية المطلوبة لي؟,1,uncategorized,5
ما حالة فحص فيتامين د؟,1,uncategorized,3
ما تعليمات الفحص المخبري؟,1,uncategorized,5
متى تم طلب الفحص؟,1,uncategorized,2
ما اسم الفحص المطلوب؟,1,uncategorized,2
ما رمز الفحص؟,1,uncategorized,3
هل الفحص مكتمل أم ملغى؟,1,uncategorized,8
هل اكتملت جميع فحوصاتي؟,2,uncategorized,4
كم عدد الفحوصات المطلوبة؟,2,uncategorized,3
ما الفحوصات الملغاة؟,2,uncategorized,3
هل هناك فحوصات معلقة؟,2,uncategorized,4
بناءً على الفحوصات المطلوبة، ماذا يجب أن أتابع؟,3,uncategorized,16
ما أهمية الفحوصات المطلوبة لحالتي؟,3,uncategorized,5
كم رسوم زيارتي؟,1,uncategorized,15
ما تكلفة آخر موعد؟,1,uncategorized,3
ما رسوم الكشف؟,1,uncategorized,18
كم دفعت في آخر زيارة؟,1,uncategorized,2
ما قيمة الفاتورة؟,1,uncategorized,12
كم إجمالي رسوم زياراتي؟,2,uncategorized,26
ما متوسط تكلفة زياراتي؟,2,uncategorized,18
هل تختلف رسوم زياراتي؟,2,uncategorized,21
بناءً على حالتي العامة، ما النصائح الصحية المناسبة؟,3,uncategorized,46
ما العلاقة بين تشخيصي وأدويتي؟,3,uncategorized,31
بناءً على سجلي، ما نمط الحياة الموصى به؟,3,uncategorized,5
هل أعراضي تتوافق مع تشخيصي؟,3,uncategorized,7
ما أفضل نظام غذائي بناءً على حالتي؟,3,uncategorized,16
بناءً على مواعيدي وأدويتي، هل ألتزم بالعلاج؟,3,uncategorized,12
ما التمارين المناسبة لحالتي؟,3,uncategorized,2
كيف أحسّن حالتي الصحية العامة؟,3,uncategorized,21
بناءً على بياناتي، ما عوامل الخطر لدي؟,3,uncategorized,16
هل يجب تغيير خطة علاجي؟,3,uncategorized,20
ما الإجراءات الوقائية المناسبة لحالتي؟,3,uncategorized,7
بناءً على تاريخي الطبي، ما المتابعة المطلوبة؟,3,uncategorized,21
ما تأثير حالتي على نمط حياتي اليومي؟,3,uncategorized,14
هل هناك ترابط بين أعراضي المختلفة؟,3,uncategorized,13
ما الأولويات العلاجية بناءً على حالتي؟,3,uncategorized,27
بناءً على كل بياناتي، ما ملخص حالتي الصحية؟,3,uncategorized,38
