query,language,category,difficulty,mode,recall@1,recall@5,recall@10,recall@20,recall@50,mrr,ndcg@10,hit_rate@10,hit_rate@20,any_match
ما أسباب أمراض الكلى؟,arabic,causes,medium,hybrid,0.1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ما أسباب أمراض الكلى؟,arabic,causes,medium,hybrid_rerank,0.0,0.3,0.4,0.7,1.0,0.5,0.38504814933911535,1.0,1.0,1.0
ما أنواع السرطان المختلفة؟,arabic,diagnosis,medium,dense,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
ما أنواع السرطان المختلفة؟,arabic,diagnosis,medium,bm25,0.0,0.1,0.1,0.3,0.5,0.5,0.13886244387355454,1.0,1.0,1.0
ما أنواع السرطان المختلفة؟,arabic,diagnosis,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
ما أنواع السرطان المختلفة؟,arabic,diagnosis,medium,hybrid_rerank,0.1,0.5,0.8,0.9,1.0,1.0,0.866947989864271,1.0,1.0,1.0
أعاني من ألم في صدري، ما السبب؟,arabic,symptoms,hard,dense,0.1,0.3,0.4,0.5,1.0,1.0,0.5326208815196265,1.0,1.0,1.0
أعاني من ألم في صدري، ما السبب؟,arabic,symptoms,hard,bm25,0.0,0.0,0.0,0.3,0.5,0.09090909090909091,0.0,0.0,1.0,1.0
أعاني من ألم في صدري، ما السبب؟,arabic,symptoms,hard,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
أعاني من ألم في صدري، ما السبب؟,arabic,symptoms,hard,hybrid_rerank,0.1,0.4,0.5,0.5,1.0,1.0,0.6332196796270029,1.0,1.0,1.0
ما هو دواء ضغط الدم؟,arabic,medications,medium,dense,0.1,0.4,0.5,0.7,1.0,1.0,0.6300426811446146,1.0,1.0,1.0
ما هو دواء ضغط الدم؟,arabic,medications,medium,bm25,0.0,0.1,0.2,0.2,0.4,0.5,0.21222636597291458,1.0,1.0,1.0
ما هو دواء ضغط الدم؟,arabic,medications,medium,hybrid,0.1,0.5,0.8,1.0,1.0,1.0,0.8701249883466593,1.0,1.0,1.0
ما هو دواء ضغط الدم؟,arabic,medications,medium,hybrid_rerank,0.1,0.2,0.2,0.6,1.0,1.0,0.3589542101716347,1.0,1.0,1.0
كيف أتعامل مع مريض السكري؟,arabic,treatment,hard,dense,0.1,0.5,0.6,0.7,1.0,1.0,0.727329844310522,1.0,1.0,1.0
كيف أتعامل مع مريض السكري؟,arabic,treatment,hard,bm25,0.1,0.2,0.2,0.5,0.6,1.0,0.3589542101716347,1.0,1.0,1.0
كيف أتعامل مع مريض السكري؟,arabic,treatment,hard,hybrid,0.1,0.5,0.5,0.8,1.0,1.0,0.6489315753318465,1.0,1.0,1.0
كيف أتعامل مع مريض السكري؟,arabic,treatment,hard,hybrid_rerank,0.1,0.2,0.6,0.9,1.0,1.0,0.5868720866710773,1.0,1.0,1.0
ما هي أعراض الجلطة القلبية؟,arabic,emergency,easy,dense,0.1,0.5,0.7,0.7,1.0,1.0,0.7859162856301584,1.0,1.0,1.0
ما هي أعراض الجلطة القلبية؟,arabic,emergency,easy,bm25,0.0,0.0,0.2,0.3,0.3,0.125,0.13305201013572898,1.0,1.0,1.0
ما هي أعراض الجلطة القلبية؟,arabic,emergency,easy,hybrid,0.1,0.5,0.8,1.0,1.0,1.0,0.866947989864271,1.0,1.0,1.0
ما هي أعراض الجلطة القلبية؟,arabic,emergency,easy,hybrid_rerank,0.0,0.3,0.7,1.0,1.0,0.5,0.6285108926059098,1.0,1.0,1.0
ما علاج التهاب المفاصل؟,arabic,treatment,medium,dense,0.1,0.2,0.2,0.2,1.0,1.0,0.30523488393970116,1.0,1.0,1.0
ما علاج التهاب المفاصل؟,arabic,treatment,medium,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ما علاج التهاب المفاصل؟,arabic,treatment,medium,hybrid,0.1,0.4,0.7,0.9,1.0,1.0,0.7312625444731047,1.0,1.0,1.0
ما علاج التهاب المفاصل؟,arabic,treatment,medium,hybrid_rerank,0.1,0.3,0.4,0.5,1.0,1.0,0.4936790360674166,1.0,1.0,1.0
فحص الدم يظهر ارتفاع السكر، ماذا يعني ذلك؟,arabic,diagnosis,medium,dense,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
فحص الدم يظهر ارتفاع السكر، ماذا يعني ذلك؟,arabic,diagnosis,medium,bm25,0.0,0.0,0.1,0.2,0.4,0.125,0.06943122193677727,1.0,1.0,1.0
فحص الدم يظهر ارتفاع السكر، ماذا يعني ذلك؟,arabic,diagnosis,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9216017310213247,1.0,1.0,1.0
فحص الدم يظهر ارتفاع السكر، ماذا يعني ذلك؟,arabic,diagnosis,medium,hybrid_rerank,0.1,0.5,0.7,1.0,1.0,1.0,0.7788065869851872,1.0,1.0,1.0
ما هي أسباب الصداع المزمن؟,arabic,causes,hard,dense,0.1,0.5,0.6,0.6,1.0,1.0,0.7183627972686238,1.0,1.0,1.0
ما هي أسباب الصداع المزمن؟,arabic,causes,hard,bm25,0.1,0.2,0.2,0.4,0.5,1.0,0.3589542101716347,1.0,1.0,1.0
ما هي أسباب الصداع المزمن؟,arabic,causes,hard,hybrid,0.1,0.5,0.8,1.0,1.0,1.0,0.8701249883466593,1.0,1.0,1.0
ما هي أسباب الصداع المزمن؟,arabic,causes,hard,hybrid_rerank,0.0,0.1,0.2,0.3,1.0,0.3333333333333333,0.1884441521277154,1.0,1.0,1.0
كيف أعرف إذا كان لدي فقر دم؟,arabic,diagnosis,medium,dense,0.1,0.2,0.4,0.5,1.0,1.0,0.456899187845258,1.0,1.0,1.0
كيف أعرف إذا كان لدي فقر دم؟,arabic,diagnosis,medium,bm25,0.0,0.0,0.1,0.6,0.7,0.16666666666666666,0.07839826897867533,1.0,1.0,1.0
كيف أعرف إذا كان لدي فقر دم؟,arabic,diagnosis,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
كيف أعرف إذا كان لدي فقر دم؟,arabic,diagnosis,medium,hybrid_rerank,0.0,0.2,0.3,0.7,1.0,0.3333333333333333,0.2781981696179509,1.0,1.0,1.0
ما أعراض ارتفاع ضغط الدم؟,arabic,symptoms,easy,dense,0.1,0.5,0.7,1.0,1.0,1.0,0.7909506325094737,1.0,1.0,1.0
ما أعراض ارتفاع ضغط الدم؟,arabic,symptoms,easy,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ما أعراض ارتفاع ضغط الدم؟,arabic,symptoms,easy,hybrid,0.0,0.3,0.5,1.0,1.0,0.5,0.47674870152787435,1.0,1.0,1.0
ما أعراض ارتفاع ضغط الدم؟,arabic,symptoms,easy,hybrid_rerank,0.0,0.2,0.3,0.5,1.0,0.5,0.30701473034246535,1.0,1.0,1.0
ما الفرق بين الأورام الحميدة والخبيثة؟,arabic,diagnosis,hard,dense,0.1,0.1,0.1,0.3,1.0,1.0,0.22009176629808017,1.0,1.0,1.0
ما الفرق بين الأورام الحميدة والخبيثة؟,arabic,diagnosis,hard,bm25,0.1,0.1,0.1,0.2,0.2,1.0,0.22009176629808017,1.0,1.0,1.0
ما الفرق بين الأورام الحميدة والخبيثة؟,arabic,diagnosis,hard,hybrid,0.1,0.3,0.7,0.7,0.7,1.0,0.750637296052051,1.0,1.0,1.0
ما الفرق بين الأورام الحميدة والخبيثة؟,arabic,diagnosis,hard,hybrid_rerank,0.1,0.2,0.3,0.6,0.7,1.0,0.43231813227099475,1.0,1.0,1.0
ما هي أعراض الغدة الدرقية؟,arabic,symptoms,medium,dense,0.1,0.3,0.4,0.6,1.0,1.0,0.5173633627401372,1.0,1.0,1.0
ما هي أعراض الغدة الدرقية؟,arabic,symptoms,medium,bm25,0.1,0.1,0.2,0.2,0.3,1.0,0.2934556883974402,1.0,1.0,1.0
ما هي أعراض الغدة الدرقية؟,arabic,symptoms,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.933745776545611,1.0,1.0,1.0
ما هي أعراض الغدة الدرقية؟,arabic,symptoms,medium,hybrid_rerank,0.1,0.5,0.6,0.7,1.0,1.0,0.7222954974312066,1.0,1.0,1.0
كيف يتم علاج الاكتئاب؟,arabic,treatment,medium,dense,0.1,0.5,0.7,0.7,1.0,1.0,0.7967610662472993,1.0,1.0,1.0
كيف يتم علاج الاكتئاب؟,arabic,treatment,medium,bm25,0.0,0.1,0.2,0.4,0.5,0.5,0.2051166673279436,1.0,1.0,1.0
كيف يتم علاج الاكتئاب؟,arabic,treatment,medium,hybrid,0.1,0.5,0.8,1.0,1.0,1.0,0.8482378089219645,1.0,1.0,1.0
كيف يتم علاج الاكتئاب؟,arabic,treatment,medium,hybrid_rerank,0.1,0.4,0.6,0.8,1.0,1.0,0.6431211415940209,1.0,1.0,1.0
ما أسباب أمراض الكبد؟,arabic,causes,medium,dense,0.1,0.5,0.7,0.7,1.0,1.0,0.7967610662472993,1.0,1.0,1.0
ما أسباب أمراض الكبد؟,arabic,causes,medium,bm25,0.0,0.1,0.2,0.2,0.2,0.5,0.21222636597291458,1.0,1.0,1.0
ما أسباب أمراض الكبد؟,arabic,causes,medium,hybrid,0.1,0.3,0.5,0.5,1.0,1.0,0.6020521034564038,1.0,1.0,1.0
ما أسباب أمراض الكبد؟,arabic,causes,medium,hybrid_rerank,0.0,0.3,0.6,0.7,1.0,0.5,0.5270672065167423,1.0,1.0,1.0
ما هو فحص الدم الشامل؟,arabic,diagnosis,easy,dense,0.1,0.4,0.5,0.5,1.0,1.0,0.6300426811446146,1.0,1.0,1.0
ما هو فحص الدم الشامل؟,arabic,diagnosis,easy,bm25,0.0,0.0,0.0,0.2,0.3,0.07142857142857142,0.0,0.0,1.0,1.0
ما هو فحص الدم الشامل؟,arabic,diagnosis,easy,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9305687780632227,1.0,1.0,1.0
ما هو فحص الدم الشامل؟,arabic,diagnosis,easy,hybrid_rerank,0.0,0.3,0.5,0.8,1.0,0.5,0.45447937127589266,1.0,1.0,1.0
كيف أقي نفسي من أمراض القلب؟,arabic,prevention,medium,dense,0.1,0.4,0.8,1.0,1.0,1.0,0.8236998933965709,1.0,1.0,1.0
كيف أقي نفسي من أمراض القلب؟,arabic,prevention,medium,bm25,0.0,0.2,0.2,0.2,0.2,0.25,0.17993148201117176,1.0,1.0,1.0
كيف أقي نفسي من أمراض القلب؟,arabic,prevention,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
كيف أقي نفسي من أمراض القلب؟,arabic,prevention,medium,hybrid_rerank,0.1,0.5,0.7,1.0,1.0,1.0,0.7967610662472993,1.0,1.0,1.0
ما هي أعراض الأزمة القلبية؟,arabic,emergency,easy,dense,0.1,0.4,0.8,0.8,1.0,1.0,0.8512360941594274,1.0,1.0,1.0
ما هي أعراض الأزمة القلبية؟,arabic,emergency,easy,bm25,0.0,0.0,0.2,0.3,0.3,0.125,0.13305201013572898,1.0,1.0,1.0
ما هي أعراض الأزمة القلبية؟,arabic,emergency,easy,hybrid,0.1,0.5,0.8,1.0,1.0,1.0,0.866947989864271,1.0,1.0,1.0
ما هي أعراض الأزمة القلبية؟,arabic,emergency,easy,hybrid_rerank,0.1,0.5,0.6,0.9,1.0,1.0,0.7183627972686238,1.0,1.0,1.0
ما أنواع الإنسولين المتاحة؟,arabic,medications,medium,dense,0.1,0.5,0.7,1.0,1.0,1.0,0.7917267193679839,1.0,1.0,1.0
ما أنواع الإنسولين المتاحة؟,arabic,medications,medium,bm25,0.1,0.3,0.6,0.9,0.9,1.0,0.6505132600483449,1.0,1.0,1.0
ما أنواع الإنسولين المتاحة؟,arabic,medications,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
ما أنواع الإنسولين المتاحة؟,arabic,medications,medium,hybrid_rerank,0.1,0.4,0.6,1.0,1.0,1.0,0.7034066032439746,1.0,1.0,1.0
كيف يتم إجراء عملية القسطرة القلبية؟,arabic,procedures,hard,dense,0.0,0.3,0.4,0.8,1.0,0.5,0.4124497136428909,1.0,1.0,1.0
كيف يتم إجراء عملية القسطرة القلبية؟,arabic,procedures,hard,bm25,0.0,0.3,0.8,1.0,1.0,0.5,0.6851198693323691,1.0,1.0,1.0
كيف يتم إجراء عملية القسطرة القلبية؟,arabic,procedures,hard,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
كيف يتم إجراء عملية القسطرة القلبية؟,arabic,procedures,hard,hybrid_rerank,0.0,0.3,0.5,0.8,1.0,0.5,0.46081298306235335,1.0,1.0,1.0
ما هي أعراض نقص Vitamin D؟,arabic,symptoms,medium,dense,0.1,0.5,0.7,1.0,1.0,1.0,0.800693766409882,1.0,1.0,1.0
ما هي أعراض نقص Vitamin D؟,arabic,symptoms,medium,bm25,0.0,0.0,0.0,0.1,0.1,0.06666666666666667,0.0,0.0,1.0,1.0
ما هي أعراض نقص Vitamin D؟,arabic,symptoms,medium,hybrid,0.1,0.4,0.9,1.0,1.0,1.0,0.914856882358379,1.0,1.0,1.0
ما هي أعراض نقص Vitamin D؟,arabic,symptoms,medium,hybrid_rerank,0.1,0.3,0.6,0.8,1.0,1.0,0.6505132600483449,1.0,1.0,1.0
ما العلاقة بين السمنة والأمراض؟,arabic,causes,medium,dense,0.1,0.3,0.4,0.8,1.0,1.0,0.5384313152574521,1.0,1.0,1.0
ما العلاقة بين السمنة والأمراض؟,arabic,causes,medium,bm25,0.0,0.0,0.0,0.1,0.1,0.07692307692307693,0.0,0.0,1.0,1.0
ما العلاقة بين السمنة والأمراض؟,arabic,causes,medium,hybrid,0.1,0.4,0.4,0.4,0.4,1.0,0.5637884576902256,1.0,1.0,1.0
ما العلاقة بين السمنة والأمراض؟,arabic,causes,medium,hybrid_rerank,0.1,0.2,0.2,0.4,0.4,1.0,0.3589542101716347,1.0,1.0,1.0
كيف أتعامل مع الربو أثناء النوبة؟,arabic,treatment,hard,dense,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
كيف أتعامل مع الربو أثناء النوبة؟,arabic,treatment,hard,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
كيف أتعامل مع الربو أثناء النوبة؟,arabic,treatment,hard,hybrid,0.1,0.4,0.7,1.0,1.0,1.0,0.7529694065526482,1.0,1.0,1.0
كيف أتعامل مع الربو أثناء النوبة؟,arabic,treatment,hard,hybrid_rerank,0.1,0.3,0.5,0.6,1.0,1.0,0.605504765619221,1.0,1.0,1.0
ما أعراض السكتة الدماغية؟,arabic,emergency,easy,dense,0.1,0.5,0.8,0.8,1.0,1.0,0.8643145546088337,1.0,1.0,1.0
ما أعراض السكتة الدماغية؟,arabic,emergency,easy,bm25,0.0,0.1,0.1,0.3,0.4,0.5,0.13886244387355454,1.0,1.0,1.0
ما أعراض السكتة الدماغية؟,arabic,emergency,easy,hybrid,0.1,0.4,0.8,1.0,1.0,1.0,0.835780413693672,1.0,1.0,1.0
ما أعراض السكتة الدماغية؟,arabic,emergency,easy,hybrid_rerank,0.1,0.3,0.5,0.7,1.0,1.0,0.5580759111248786,1.0,1.0,1.0
ما فوائد الرضاعة الطبيعية؟,arabic,nutrition,easy,dense,0.1,0.2,0.2,0.3,1.0,1.0,0.31488013066763093,1.0,1.0,1.0
ما فوائد الرضاعة الطبيعية؟,arabic,nutrition,easy,bm25,0.0,0.4,0.7,0.7,0.7,0.5,0.6429235234036081,1.0,1.0,1.0
ما فوائد الرضاعة الطبيعية؟,arabic,nutrition,easy,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
ما فوائد الرضاعة الطبيعية؟,arabic,nutrition,easy,hybrid_rerank,0.0,0.1,0.2,0.5,1.0,0.5,0.2082936658103318,1.0,1.0,1.0
كيف أعرف إذا كان طفلي مصاباً بالح fever؟,arabic,diagnosis,medium,dense,0.1,0.5,0.9,1.0,1.0,1.0,0.933745776545611,1.0,1.0,1.0
كيف أعرف إذا كان طفلي مصاباً بالح fever؟,arabic,diagnosis,medium,bm25,0.1,0.2,0.2,0.3,0.4,1.0,0.33013764944712026,1.0,1.0,1.0
كيف أعرف إذا كان طفلي مصاباً بالح fever؟,arabic,diagnosis,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
كيف أعرف إذا كان طفلي مصاباً بالح fever؟,arabic,diagnosis,medium,hybrid_rerank,0.1,0.4,0.6,0.9,1.0,1.0,0.6936634693435663,1.0,1.0,1.0
ما أضرار التدخين على الصحة؟,arabic,causes,easy,dense,0.1,0.5,0.8,1.0,1.0,1.0,0.8701249883466593,1.0,1.0,1.0
ما أضرار التدخين على الصحة؟,arabic,causes,easy,bm25,0.0,0.1,0.2,0.4,0.4,0.5,0.2051166673279436,1.0,1.0,1.0
ما أضرار التدخين على الصحة؟,arabic,causes,easy,hybrid,0.1,0.5,0.8,1.0,1.0,1.0,0.8701249883466593,1.0,1.0,1.0
ما أضرار التدخين على الصحة؟,arabic,causes,easy,hybrid_rerank,0.1,0.3,0.5,0.9,1.0,1.0,0.6015720654566381,1.0,1.0,1.0
ما هي أعراض مرض باركنسون؟,arabic,symptoms,hard,dense,0.1,0.1,0.3,0.4,1.0,1.0,0.35970991185182927,1.0,1.0,1.0
ما هي أعراض مرض باركنسون؟,arabic,symptoms,hard,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ما هي أعراض مرض باركنسون؟,arabic,symptoms,hard,hybrid,0.1,0.4,0.8,1.0,1.0,1.0,0.8318477135310893,1.0,1.0,1.0
ما هي أعراض مرض باركنسون؟,arabic,symptoms,hard,hybrid_rerank,0.1,0.1,0.2,0.4,1.0,1.0,0.2863459897524692,1.0,1.0,1.0
كيف يتم علاج فيروس كوفيد-19؟,arabic,treatment,medium,dense,0.1,0.5,0.9,0.9,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
كيف يتم علاج فيروس كوفيد-19؟,arabic,treatment,medium,bm25,0.0,0.0,0.1,0.1,0.1,0.1111111111111111,0.06625422345438903,1.0,1.0,1.0
كيف يتم علاج فيروس كوفيد-19؟,arabic,treatment,medium,hybrid,0.1,0.4,0.6,1.0,1.0,1.0,0.6528642754944294,1.0,1.0,1.0
كيف يتم علاج فيروس كوفيد-19؟,arabic,treatment,medium,hybrid_rerank,0.0,0.2,0.5,0.7,1.0,0.3333333333333333,0.40807318127129166,1.0,1.0,1.0
ما الفرق بين流感 و نزلة البرد؟,arabic,diagnosis,medium,dense,0.1,0.3,0.7,1.0,1.0,1.0,0.6874708847784536,1.0,1.0,1.0
ما الفرق بين流感 و نزلة البرد؟,arabic,diagnosis,medium,bm25,0.1,0.1,0.3,0.5,0.8,1.0,0.37185395737611554,1.0,1.0,1.0
ما الفرق بين流感 و نزلة البرد؟,arabic,diagnosis,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
ما الفرق بين流感 و نزلة البرد؟,arabic,diagnosis,medium,hybrid_rerank,0.1,0.3,0.6,1.0,1.0,1.0,0.67175898907361,1.0,1.0,1.0
ما أسباب آلام البطن المتكررة؟,arabic,causes,hard,dense,0.1,0.5,0.7,0.7,1.0,1.0,0.793584067764911,1.0,1.0,1.0
ما أسباب آلام البطن المتكررة؟,arabic,causes,hard,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ما أسباب آلام البطن المتكررة؟,arabic,causes,hard,hybrid,0.1,0.5,0.8,1.0,1.0,1.0,0.8643145546088337,1.0,1.0,1.0
ما أسباب آلام البطن المتكررة؟,arabic,causes,hard,hybrid_rerank,0.1,0.2,0.3,0.3,1.0,1.0,0.3785988060390612,1.0,1.0,1.0
كيف أعتني بالجرح بعد العملية الجراحية؟,arabic,treatment,medium,dense,0.1,0.5,0.7,1.0,1.0,1.0,0.7917267193679839,1.0,1.0,1.0
كيف أعتني بالجرح بعد العملية الجراحية؟,arabic,treatment,medium,bm25,0.1,0.2,0.2,0.2,0.2,1.0,0.33013764944712026,1.0,1.0,1.0
كيف أعتني بالجرح بعد العملية الجراحية؟,arabic,treatment,medium,hybrid,0.1,0.3,0.5,1.0,1.0,1.0,0.5988751049740155,1.0,1.0,1.0
كيف أعتني بالجرح بعد العملية الجراحية؟,arabic,treatment,medium,hybrid_rerank,0.1,0.4,0.6,0.8,1.0,1.0,0.7007731679885374,1.0,1.0,1.0
ما هي أعراض نقص الحديد؟,arabic,symptoms,easy,dense,0.1,0.5,0.7,0.9,1.0,1.0,0.800693766409882,1.0,1.0,1.0
ما هي أعراض نقص الحديد؟,arabic,symptoms,easy,bm25,0.1,0.2,0.2,0.2,0.2,1.0,0.33013764944712026,1.0,1.0,1.0
ما هي أعراض نقص الحديد؟,arabic,symptoms,easy,hybrid,0.1,0.5,0.8,1.0,1.0,1.0,0.8521705090845474,1.0,1.0,1.0
ما هي أعراض نقص الحديد؟,arabic,symptoms,easy,hybrid_rerank,0.1,0.3,0.4,0.7,1.0,1.0,0.5077181160122074,1.0,1.0,1.0
ما هو النظام الغذائي الصحي للقلب؟,arabic,nutrition,medium,dense,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
ما هو النظام الغذائي الصحي للقلب؟,arabic,nutrition,medium,bm25,0.1,0.2,0.3,0.3,0.3,1.0,0.40853591842579556,1.0,1.0,1.0
ما هو النظام الغذائي الصحي للقلب؟,arabic,nutrition,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
ما هو النظام الغذائي الصحي للقلب؟,arabic,nutrition,medium,hybrid_rerank,0.1,0.4,0.6,1.0,1.0,1.0,0.696162268139923,1.0,1.0,1.0
كيف أتعامل مع نوبة القلق؟,arabic,treatment,hard,dense,0.1,0.5,0.7,0.8,1.0,1.0,0.7967610662472993,1.0,1.0,1.0
