query,patient_id,tier,n_relevant,rr_bm25_only,rr_dense_only,rr_hybrid_no_rerank,rr_hybrid_no_router,rr_full_system
بناءً على سجلي الطبي الكامل، ما التوصيات؟,160,3,31,1.0,1.0,1.0,1.0,1.0
ما المسار العلاجي بناءً على سجلاتي؟,161,3,14,1.0,1.0,0.5,1.0,1.0
ما مستوى السكر في دمي؟,151,1,7,0.1667,1.0,0.3333,1.0,1.0
ما قراءة ضغط الدم لدي؟,152,1,1,0.5,1.0,1.0,1.0,1.0
كم وزني في آخر فحص؟,153,1,1,0.1667,0.3333,0.25,0.3333,0.3333
ما درجة حرارتي؟,154,1,9,0.1,1.0,0.5,1.0,1.0
ما معدل ضربات القلب؟,155,1,4,0.2,1.0,0.3333,1.0,1.0
ما معدل التنفس؟,156,1,3,0.25,1.0,0.5,1.0,1.0
ما نسبة الأكسجين في الدم؟,157,1,5,0.1667,1.0,0.5,1.0,1.0
هل تحسنت قراءات الضغط؟,158,2,2,0.3333,1.0,0.5,1.0,1.0
هل هناك تغير في وزني؟,159,2,3,0.25,1.0,0.5,1.0,1.0
هل مستوى السكر مستقر؟,160,2,6,0.1667,1.0,0.3333,1.0,1.0
ما اتجاه مؤشراتي الحيوية؟,161,2,5,0.2,1.0,0.5,1.0,1.0
بناءً على مؤشراتي الحيوية، هل حالتي مستقرة؟,162,3,6,0.1429,1.0,0.5,1.0,1.0
ما دلالة قراءاتي الحيوية على صحتي؟,163,3,5,0.1667,1.0,0.3333,1.0,1.0
ما الفحوصات المخبرية المطلوبة لي؟,151,1,5,1.0,0.1667,0.1111,0.1667,0.1667
ما حالة فحص فيتامين د؟,153,1,3,0.0,1.0,0.0,1.0,1.0
ما تعليمات الفحص المخبري؟,154,1,5,0.0,1.0,0.0,1.0,1.0
متى تم طلب الفحص؟,155,1,2,0.0,0.0,0.0,0.2,0.2
ما اسم الفحص المطلوب؟,156,1,2,0.0,1.0,0.0,1.0,1.0
ما رمز الفحص؟,157,1,3,0.0,1.0,0.0,1.0,1.0
هل الفحص مكتمل أم ملغى؟,159,1,8,0.0,1.0,0.25,1.0,1.0
هل اكتملت جميع فحوصاتي؟,160,2,4,0.0,1.0,0.0,0.5,0.5
كم عدد الفحوصات المطلوبة؟,161,2,3,0.0,0.5,0.0,1.0,1.0
ما الفحوصات الملغاة؟,162,2,3,0.0,0.25,0.0,0.1429,0.1429
هل هناك فحوصات معلقة؟,163,2,4,0.3333,0.3333,0.1429,0.0,0.0
بناءً على الفحوصات المطلوبة، ماذا يجب أن أتابع؟,164,3,16,1.0,1.0,0.5,1.0,1.0
ما أهمية الفحوصات المطلوبة لحالتي؟,165,3,5,0.3333,0.125,0.1667,0.1667,0.1667
كم رسوم زيارتي؟,151,1,15,0.0,0.25,0.3333,0.25,0.25
ما تكلفة آخر موعد؟,152,1,1,0.0,0.0,0.0,0.1,0.1
ما رسوم الكشف؟,153,1,18,0.0,0.5,0.3333,1.0,1.0
كم دفعت في آخر زيارة؟,154,1,2,0.0,0.0,0.0,0.0,0.0
ما قيمة الفاتورة؟,155,1,12,0.0,0.1111,0.3333,0.25,0.25
كم إجمالي رسوم زياراتي؟,156,2,26,0.1,1.0,0.5,1.0,1.0
ما متوسط تكلفة زياراتي؟,157,2,18,0.0,1.0,0.3333,1.0,1.0
هل تختلف رسوم زياراتي؟,158,2,21,0.125,1.0,0.5,1.0,1.0
بناءً على حالتي العامة، ما النصائح الصحية المناسبة؟,169,3,46,0.3333,1.0,1.0,1.0,1.0
ما العلاقة بين تشخيصي وأدويتي؟,190,3,31,0.1111,1.0,1.0,0.5,0.5
بناءً على سجلي، ما نمط الحياة الموصى به؟,154,3,5,0.3333,0.0,0.25,1.0,1.0
هل أعراضي تتوافق مع تشخيصي؟,177,3,7,0.1667,0.1,1.0,1.0,1.0
ما أفضل نظام غذائي بناءً على حالتي؟,195,3,16,0.1429,0.5,0.3333,1.0,1.0
بناءً على مواعيدي وأدويتي، هل ألتزم بالعلاج؟,194,3,12,0.5,1.0,0.3333,1.0,1.0
ما التمارين المناسبة لحالتي؟,184,3,2,0.0,0.0,0.0,0.5,0.5
كيف أحسّن حالتي الصحية العامة؟,174,3,21,0.3333,0.3333,0.2,1.0,1.0
بناءً على بياناتي، ما عوامل الخطر لدي؟,151,3,16,0.1667,1.0,1.0,1.0,1.0
هل يجب تغيير خطة علاجي؟,176,3,20,0.3333,0.5,1.0,1.0,1.0
ما الإجراءات الوقائية المناسبة لحالتي؟,160,3,7,0.0,0.0,1.0,0.0,0.0
بناءً على تاريخي الطبي، ما المتابعة المطلوبة؟,185,3,21,1.0,1.0,0.5,0.5,0.5
ما تأثير حالتي على نمط حياتي اليومي؟,162,3,14,1.0,0.0,0.125,0.0,0.0
هل هناك ترابط بين أعراضي المختلفة؟,181,3,13,0.1667,0.1667,0.25,0.5,0.5
ما الأولويات العلاجية بناءً على حالتي؟,183,3,27,1.0,1.0,0.5,1.0,1.0
بناءً على كل بياناتي، ما ملخص حالتي الصحية؟,164,3,38,1.0,1.0,1.0,1.0,1.0
