query,tier,retrieved,tokens,budget,within_budget
ما التشخيصات المتكررة في سجلي؟,2,1,191,200,1
هل هناك أكثر من تشخيص؟,2,1,194,200,1
بناءً على تشخيصي، ما الخطة العلاجية المناسبة؟,3,1,2607,20000,1
ما المضاعفات المحتملة لتشخيصي؟,3,1,2032,20000,1
ما ملاحظات الطبيب في آخر زيارة؟,1,1,37,50,1
ما خطة العلاج الموصوفة؟,1,1,50,50,1
متى موعد المتابعة؟,1,1,50,50,1
ما نوع السجل الطبي؟,1,1,50,50,1
ما تاريخ آخر زيارة طبية؟,1,1,50,50,1
ما توصيات الطبيب؟,1,1,50,50,1
ما ملخص زياراتي الطبية؟,2,1,177,200,1
كيف تطورت حالتي عبر الزيارات؟,2,1,190,200,1
ما خطط العلاج عبر سجلي؟,2,1,158,200,1
بناءً على سجلي الطبي الكامل، ما التوصيات؟,3,1,2607,20000,1
ما المسار العلاجي بناءً على سجلاتي؟,3,1,2032,20000,1
ما مستوى السكر في دمي؟,1,1,38,50,1
ما قراءة ضغط الدم لدي؟,1,1,50,50,1
كم وزني في آخر فحص؟,1,1,50,50,1
ما درجة حرارتي؟,1,1,50,50,1
ما معدل ضربات القلب؟,1,1,50,50,1
ما معدل التنفس؟,1,1,50,50,1
ما نسبة الأكسجين في الدم؟,1,1,50,50,1
هل تحسنت قراءات الضغط؟,2,1,171,200,1
هل هناك تغير في وزني؟,2,1,171,200,1
هل مستوى السكر مستقر؟,2,1,171,200,1
ما اتجاه مؤشراتي الحيوية؟,2,1,171,200,1
بناءً على مؤشراتي الحيوية، هل حالتي مستقرة؟,3,1,2380,20000,1
ما دلالة قراءاتي الحيوية على صحتي؟,3,1,2357,20000,1
ما الفحوصات المخبرية المطلوبة لي؟,1,1,50,50,1
ما حالة فحص فيتامين د؟,1,1,50,50,1
ما تعليمات الفحص المخبري؟,1,1,50,50,1
متى تم طلب الفحص؟,1,1,50,50,1
ما اسم الفحص المطلوب؟,1,1,50,50,1
ما رمز الفحص؟,1,1,36,50,1
هل الفحص مكتمل أم ملغى؟,1,1,50,50,1
هل اكتملت جميع فحوصاتي؟,2,1,163,200,1
كم عدد الفحوصات المطلوبة؟,2,1,182,200,1
ما الفحوصات الملغاة؟,2,1,171,200,1
هل هناك فحوصات معلقة؟,2,1,171,200,1
بناءً على الفحوصات المطلوبة، ماذا يجب أن أتابع؟,3,1,2265,20000,1
ما أهمية الفحوصات المطلوبة لحالتي؟,3,1,1814,20000,1
كم رسوم زيارتي؟,1,1,50,50,1
ما تكلفة آخر موعد؟,1,1,50,50,1
ما رسوم الكشف؟,1,1,50,50,1
كم دفعت في آخر زيارة؟,1,1,50,50,1
ما قيمة الفاتورة؟,1,1,50,50,1
كم إجمالي رسوم زياراتي؟,2,1,141,200,1
ما متوسط تكلفة زياراتي؟,2,1,143,200,1
هل تختلف رسوم زياراتي؟,2,1,143,200,1
بناءً على حالتي العامة، ما النصائح الصحية المناسبة؟,3,1,2956,20000,1
ما العلاقة بين تشخيصي وأدويتي؟,3,1,2984,20000,1
بناءً على سجلي، ما نمط الحياة الموصى به؟,3,1,2634,20000,1
هل أعراضي تتوافق مع تشخيصي؟,3,1,2939,20000,1
ما أفضل نظام غذائي بناءً على حالتي؟,3,1,2505,20000,1
بناءً على مواعيدي وأدويتي، هل ألتزم بالعلاج؟,3,1,2287,20000,1
ما التمارين المناسبة لحالتي؟,3,1,2338,20000,1
كيف أحسّن حالتي الصحية العامة؟,3,1,2624,20000,1
بناءً على بياناتي، ما عوامل الخطر لدي؟,3,1,2041,20000,1
هل يجب تغيير خطة علاجي؟,3,1,2620,20000,1
ما الإجراءات الوقائية المناسبة لحالتي؟,3,1,2607,20000,1
بناءً على تاريخي الطبي، ما المتابعة المطلوبة؟,3,1,2452,20000,1
ما تأثير حالتي على نمط حياتي اليومي؟,3,1,2380,20000,1
هل هناك ترابط بين أعراضي المختلفة؟,3,1,2512,20000,1
ما الأولويات العلاجية بناءً على حالتي؟,3,1,2279,20000,1
بناءً على كل بياناتي، ما ملخص حالتي الصحية؟,3,1,2265,20000,1
